SKU,Category,UnitCost,CurrentStock,SafetyStock,ReorderPoint,MaxStock,AvegDailyDemand,LeadTimeDays,Warehouse,InventoryValue,DemandVariability,OptimalSafetyStock,Status,AnnualRevenue,CumulativePct,ABCClass
SKU-00111,Finished Goods,663.3842055738372,91,154,254,534,20.69907199443479,29,WH-East,60367.96270721919,4.139814398886958,637.0,🚨 REORDER NOW,5011974.662367481,0.6812578776133831,A
SKU-00118,Packaging,901.4138765916972,50,135,134,450,13.155487977454706,21,WH-East,45070.69382958486,2.6310975954909415,296.0,🚨 REORDER NOW,4328366.886917713,0.7535788791761827,A
SKU-00022,Raw Materials,527.5055010881741,146,186,185,756,21.601113780639757,10,WH-West,77015.80315887342,4.320222756127952,239.0,🚨 REORDER NOW,4159067.8173554493,0.7718973948426943,A
SKU-00023,Packaging,433.26560817496414,3,189,244,665,25.814062225991655,17,WH-West,1299.7968245248924,5.162812445198331,474.0,🚨 REORDER NOW,4082286.059980885,0.7837421973367632,A
SKU-00121,Finished Goods,355.7174788665343,62,149,214,394,30.851290093096036,23,WH-Central,22054.483689725126,6.170258018619208,758.0,🚨 REORDER NOW,4005635.243069116,0.8069243628349081,B
SKU-00032,Raw Materials,416.2790938052734,45,97,207,787,25.13355650705546,9,WH-West,18732.559221237305,5.026711301411092,251.0,🚨 REORDER NOW,3818839.556304148,0.8235774315648713,B
SKU-00123,Packaging,898.1391573530514,124,196,146,673,11.289756948183028,28,WH-West,111369.25551177836,2.2579513896366055,336.0,🚨 REORDER NOW,3701017.069139079,0.8343366290818738,B
SKU-00048,MRO,324.8234402221452,115,134,226,748,29.16979438183465,10,WH-Central,37354.6956255467,5.83395887636693,322.0,🚨 REORDER NOW,3458387.0310132494,0.844327311260967,B
SKU-00139,MRO,232.0266163659542,52,193,125,421,38.6424221079313,24,WH-East,12065.384051029618,7.728484421586261,990.0,🚨 REORDER NOW,3272615.714209209,0.8585845542991216,B
SKU-00126,Finished Goods,645.6113296927449,57,77,109,687,12.364517428956702,24,WH-East,36799.845792486456,2.4729034857913406,317.0,🚨 REORDER NOW,2913675.4764860175,0.8804804719844721,B
SKU-00100,Raw Materials,648.7210625053553,172,187,191,629,11.04866046225384,19,WH-West,111580.02275092113,2.209732092450768,226.0,🚨 REORDER NOW,2616137.045331991,0.896394196610449,B
SKU-00095,Packaging,594.9840137563594,12,107,251,584,11.946322187339105,27,WH-West,7139.808165076313,2.389264437467821,343.0,🚨 REORDER NOW,2594372.8144971305,0.9001313424158568,B
SKU-00058,Raw Materials,128.66671366034598,17,187,155,554,49.39318619568409,22,WH-West,2187.3341322258816,9.878637239136818,1163.0,🚨 REORDER NOW,2319669.514929467,0.9106265964228154,B
SKU-00110,MRO,265.36221143800407,142,148,291,425,23.532841136627084,24,WH-Central,37681.43402419658,4.706568227325417,603.0,🚨 REORDER NOW,2279325.269383628,0.9172096457910254,B
SKU-00062,MRO,523.6027155259325,53,118,233,528,11.87866126329494,12,WH-Central,27750.94392287442,2.375732252658988,156.0,🚨 REORDER NOW,2270190.242409986,0.9204798126284559,B
SKU-00119,Finished Goods,636.7704427005352,152,190,233,482,7.992332031504987,15,WH-West,96789.10729048135,1.5984664063009975,130.0,🚨 REORDER NOW,1857587.494157551,0.9350475121911013,B
SKU-00086,MRO,374.1053013920607,38,84,217,780,13.416968685088552,9,WH-West,14216.001452898307,2.6833937370177106,134.0,🚨 REORDER NOW,1832066.076501556,0.9376865693130265,B
SKU-00099,Packaging,234.23081744595856,35,70,221,700,20.147192518726428,25,WH-Central,8198.07861060855,4.029438503745285,537.0,🚨 REORDER NOW,1722469.081109373,0.9555913469739208,C
SKU-00034,Packaging,236.51018383670623,5,166,266,333,15.911172663562835,8,WH-West,1182.5509191835313,3.182234532712567,142.0,🚨 REORDER NOW,1373551.3456766396,0.9726705853855779,C
SKU-00010,Packaging,317.8724984985056,26,196,277,558,8.679156437699236,5,WH-West,8264.684960961145,1.7358312875398472,50.0,🚨 REORDER NOW,1006985.7767244587,0.9831468393434702,C
SKU-00090,Packaging,99.38687235386422,25,142,111,546,15.908437958678611,26,WH-Central,2484.6718088466055,3.1816875917357224,440.0,🚨 REORDER NOW,577097.8108532242,0.9919669175137867,C
SKU-00035,Packaging,86.21011073050506,98,178,190,647,17.115945392722143,16,WH-West,8448.590851589497,3.4231890785444286,296.0,🚨 REORDER NOW,538582.1548608068,0.9935677993289971,C
SKU-00101,MRO,182.62276471494152,19,150,263,572,7.851873671274548,13,WH-West,3469.832529583889,1.5703747342549097,111.0,🚨 REORDER NOW,523384.77048482484,0.9943217253602529,C
SKU-00024,Finished Goods,35.164935476654236,34,178,170,300,38.63619221601905,19,WH-Central,1195.607806206244,7.7272384432038095,790.0,🚨 REORDER NOW,495903.31031407096,0.9957701993173956,C
SKU-00003,Raw Materials,83.30420521674945,37,104,244,305,14.285017328260663,19,WH-Central,3082.2555930197295,2.8570034656521326,292.0,🚨 REORDER NOW,434350.73548896064,0.9963958734765366,C
SKU-00026,Packaging,41.11489382986691,48,171,231,472,16.359662495480933,17,WH-East,1973.5149038336117,3.2719324990961867,300.0,🚨 REORDER NOW,245508.41210686625,0.9992686787136239,C
